Name, Date, URL
Geology Department Comps  Presentations, 2019-04-13, https://apps.carleton.edu/calendar/?view=daily&start_date=2019-04-13&event_id=1807588&date=2019-04-13
HackCarleton, 2019-04-13, https://apps.carleton.edu/calendar/?view=daily&start_date=2019-04-13&event_id=1816582&date=2019-04-13
SOAN Senior Comps Talks, 2019-04-13, https://apps.carleton.edu/calendar/?view=daily&start_date=2019-04-13&event_id=1811710&date=2019-04-13
Men's Track and Field at Minnesota Spring Open, 2019-04-13, https://apps.carleton.edu/calendar/?view=daily&start_date=2019-04-13&event_id=1804495&date=2019-04-13
Women's Track and Field at Minnesota Spring Open, 2019-04-13, https://apps.carleton.edu/calendar/?view=daily&start_date=2019-04-13&event_id=1764745&date=2019-04-13
Women's Golf at Wartburg Spring Invitational, 2019-04-13, https://apps.carleton.edu/calendar/?view=daily&start_date=2019-04-13&event_id=1804870&date=2019-04-13
Christopher U. Light Lectureship Master Class: Caroline Shaw, 2019-04-13, https://apps.carleton.edu/calendar/?view=daily&start_date=2019-04-13&event_id=1728587&date=2019-04-13
Men’s Golf at Saint Mary’s Invitational, 2019-04-13, https://apps.carleton.edu/calendar/?view=daily&start_date=2019-04-13&event_id=1798071&date=2019-04-13
Baseball at Augsburg University, 2019-04-13, https://apps.carleton.edu/calendar/?view=daily&start_date=2019-04-13&event_id=1718166&date=2019-04-13
Weekly Standup, 2019-04-13, https://apps.carleton.edu/calendar/?view=daily&start_date=2019-04-13&event_id=1814700&date=2019-04-13
Thu Nguyen '19 Dance Comps: covers., 2019-04-13, https://apps.carleton.edu/calendar/?view=daily&start_date=2019-04-13&event_id=1806836&date=2019-04-13
SUMO: First Man, 2019-04-13, https://apps.carleton.edu/calendar/?view=daily&start_date=2019-04-13&event_id=1815184&date=2019-04-13
Softball vs. University of St. Thomas, 2019-04-13, https://apps.carleton.edu/calendar/?view=daily&start_date=2019-04-13&event_id=1754760&date=2019-04-13
SUMO: First Man, 2019-04-13, https://apps.carleton.edu/calendar/?view=daily&start_date=2019-04-13&event_id=1815190&date=2019-04-13
Superhero Dance, 2019-04-13, https://apps.carleton.edu/calendar/?view=daily&start_date=2019-04-13&event_id=1774519&date=2019-04-13
